Date,Dividends
2012-08-09,0.094643
2012-11-07,0.094643
2013-02-07,0.094643
2013-05-09,0.108929
2013-08-08,0.108929
2013-11-06,0.108929
2014-02-06,0.108929
2014-05-08,0.117500
2014-08-07,0.117500
2014-11-06,0.117500
2015-02-05,0.117500
2015-05-07,0.130000
2015-08-06,0.130000
2015-11-05,0.130000
2016-02-04,0.130000
2016-05-05,0.142500
2016-08-04,0.142500
2016-11-03,0.142500
2017-02-09,0.142500
2017-05-11,0.157500
2017-08-10,0.157500
2017-11-10,0.157500
2018-02-09,0.157500
2018-05-11,0.182500
2018-08-10,0.182500
2018-11-08,0.182500
2019-02-08,0.182500
2019-05-10,0.192500
2019-08-09,0.192500
2019-11-07,0.192500
2020-02-07,0.192500
2020-05-08,0.205000
2020-08-07,0.205000
2020-11-06,0.205000
2021-02-05,0.205000
2021-05-07,0.220000
2021-08-06,0.220000
2021-11-05,0.220000
2022-02-04,0.220000
2022-05-06,0.230000
2022-08-05,0.230000
2022-11-04,0.230000
2023-02-10,0.230000
2023-05-12,0.240000
